source_camera_idx,target_camera_idx,distance
0,1,40
0,2,170
0,3,240
0,4,260
0,5,280
0,6,450
0,7,520
0,8,530
0,9,740
0,10,850
0,11,990
0,12,1010
0,13,1210
0,14,1250
0,15,1270
0,16,1190
0,17,1030
0,18,930
0,19,880
1,0,40
1,2,130
1,3,200
1,4,220
1,5,240
1,6,410
1,7,480
1,8,490
1,9,700
1,10,810
1,11,950
1,12,970
1,13,1170
1,14,1210
1,15,1310
1,16,1230
1,17,1070
1,18,970
1,19,920
2,0,170
2,1,130
2,3,70
2,4,90
2,5,110
2,6,280
2,7,350
2,8,360
2,9,570
2,10,680
2,11,820
2,12,840
2,13,1040
2,14,1080
2,15,1180
2,16,1260
2,17,1200
2,18,1100
2,19,1050
3,0,240
3,1,200
3,2,70
3,4,20
3,5,40
3,6,210
3,7,280
3,8,290
3,9,500
3,10,610
3,11,750
3,12,770
3,13,970
3,14,1010
3,15,1110
3,16,1190
3,17,1270
3,18,1070
3,19,1120
4,0,260
4,1,220
4,2,90
4,3,20
4,5,20
4,6,190
4,7,260
4,8,270
4,9,480
4,10,590
4,11,730
4,12,750
4,13,950
4,14,990
4,15,1090
4,16,1170
4,17,1330
4,18,1090
4,19,1140
5,0,280
5,1,240
5,2,110
5,3,40
5,4,20
5,6,170
5,7,240
5,8,250
5,9,460
5,10,570
5,11,710
5,12,730
5,13,930
5,14,970
5,15,1070
5,16,1150
5,17,1310
5,18,1220
5,19,1160
6,0,450
6,1,410
6,2,280
6,3,210
6,4,190
6,5,170
6,7,70
6,8,80
6,9,290
6,10,400
6,11,540
6,12,560
6,13,760
6,14,800
6,15,900
6,16,980
6,17,1140
6,18,1240
6,19,1290
7,0,520
7,1,480
7,2,350
7,3,280
7,4,260
7,5,240
7,6,70
7,8,10
7,9,220
7,10,330
7,11,470
7,12,490
7,13,690
7,14,730
7,15,830
7,16,910
7,17,1070
7,18,1170
7,19,1220
8,0,530
8,1,490
8,2,360
8,3,290
8,4,270
8,5,250
8,6,80
8,7,10
8,9,210
8,10,320
8,11,460
8,12,480
8,13,680
8,14,720
8,15,820
8,16,900
8,17,1060
8,18,1160
8,19,1210
9,0,740
9,1,700
9,2,570
9,3,500
9,4,480
9,5,460
9,6,290
9,7,220
9,8,210
9,10,110
9,11,250
9,12,270
9,13,470
9,14,510
9,15,610
9,16,690
9,17,850
9,18,950
9,19,1000
10,0,850
10,1,810
10,2,680
10,3,610
10,4,590
10,5,570
10,6,400
10,7,330
10,8,320
10,9,110
10,11,140
10,12,160
10,13,360
10,14,400
10,15,500
10,16,580
10,17,740
10,18,840
10,19,890
11,0,990
11,1,950
11,2,820
11,3,750
11,4,730
11,5,710
11,6,540
11,7,470
11,8,460
11,9,250
11,10,140
11,12,20
11,13,220
11,14,260
11,15,360
11,16,440
11,17,600
11,18,700
11,19,750
12,0,1010
12,1,970
12,2,840
12,3,770
12,4,750
12,5,730
12,6,560
12,7,490
12,8,480
12,9,270
12,10,160
12,11,20
12,13,200
12,14,240
12,15,340
12,16,420
12,17,580
12,18,680
12,19,730
13,0,1210
13,1,1170
13,2,1040
13,3,970
13,4,950
13,5,930
13,6,760
13,7,690
13,8,680
13,9,470
13,10,360
13,11,220
13,12,200
13,14,40
13,15,140
13,16,320
13,17,480
13,18,580
13,19,630
14,0,1250
14,1,1210
14,2,1080
14,3,1010
14,4,990
14,5,970
14,6,800
14,7,730
14,8,720
14,9,510
14,10,400
14,11,260
14,12,240
14,13,40
14,15,100
14,16,180
14,17,340
14,18,440
14,19,490
15,0,1270
15,1,1310
15,2,1180
15,3,1110
15,4,1090
15,5,1070
15,6,900
15,7,830
15,8,820
15,9,610
15,10,500
15,11,360
15,12,340
15,13,140
15,14,100
15,16,80
15,17,240
15,18,340
15,19,390
16,0,1190
16,1,1230
16,2,1260
16,3,1190
16,4,1170
16,5,1150
16,6,980
16,7,910
16,8,900
16,9,690
16,10,580
16,11,440
16,12,420
16,13,320
16,14,180
16,15,80
16,17,160
16,18,260
16,19,310
17,0,1030
17,1,1070
17,2,1200
17,3,1270
17,4,1330
17,5,1310
17,6,1140
17,7,1070
17,8,1060
17,9,850
17,10,740
17,11,600
17,12,580
17,13,480
17,14,340
17,15,240
17,16,160
17,18,100
17,19,150
18,0,930
18,1,970
18,2,1100
18,3,1070
18,4,1090
18,5,1220
18,6,1240
18,7,1170
18,8,1160
18,9,950
18,10,840
18,11,700
18,12,680
18,13,580
18,14,440
18,15,340
18,16,260
18,17,100
18,19,50
19,0,880
19,1,920
19,2,1050
19,3,1120
19,4,1140
19,5,1160
19,6,1290
19,7,1220
19,8,1210
19,9,1000
19,10,890
19,11,750
19,12,730
19,13,630
19,14,490
19,15,390
19,16,310
19,17,150
19,18,50
