source_image_idx,target_camera_idx
0,10
1,10
2,10
3,10
4,10
5,10
6,9
7,9
8,9
9,9
10,9
11,9
12,12
13,12
14,12
15,12
16,12
17,12
18,11
19,11
20,11
21,11
22,11
23,11
24,18
25,18
26,18
27,18
28,18
29,18
30,17
31,17
32,17
33,17
34,17
35,17
36,19
37,19
38,19
39,19
40,19
41,19
42,14
43,14
44,14
45,14
46,14
47,14
48,15
49,15
50,15
51,15
52,15
53,15
54,9
55,9
56,9
57,9
58,9
59,9
60,5
61,5
62,5
63,5
64,5
65,5
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,1
74,1
75,1
76,1
77,1
78,7
79,7
80,7
81,7
82,7
83,7
84,0
85,0
86,0
87,0
88,0
89,0
90,2
91,2
92,2
93,2
94,2
95,4
96,4
97,4
98,4
99,4
100,4
101,6
102,6
103,6
104,6
105,6
106,6
107,8
108,8
109,8
110,8
111,8
112,8
113,10
114,10
115,10
116,10
117,10
118,10
119,12
120,12
121,12
122,12
123,12
124,12
125,11
126,11
127,11
128,11
129,11
130,11
131,18
132,18
133,18
134,18
135,18
136,18
137,17
138,17
139,17
140,17
141,17
142,17
143,19
144,19
145,19
146,19
147,19
148,19
149,14
150,14
151,14
152,14
153,14
154,14
155,15
156,15
157,15
158,15
159,15
160,15
161,10
162,10
163,10
164,10
165,10
166,10
167,12
168,12
169,12
170,12
171,12
172,12
173,11
174,11
175,11
176,11
177,11
178,9
179,9
180,9
181,9
182,9
183,9
184,5
185,5
186,5
187,5
188,5
189,5
190,3
191,3
192,3
193,3
194,3
195,3
196,1
197,1
198,1
199,1
200,1
201,1
202,7
203,7
204,7
205,7
206,7
207,7
208,0
209,0
210,0
211,0
212,0
213,2
214,2
215,2
216,2
217,2
218,4
219,4
220,4
221,4
222,4
223,4
224,6
225,6
226,6
227,6
228,6
229,6
230,8
231,8
232,8
233,8
234,8
235,8
236,18
237,18
238,18
239,18
240,18
241,18
242,18
243,18
244,18
245,18
246,18
247,18
248,17
249,17
250,17
251,17
252,17
253,17
254,17
255,17
256,17
257,17
258,17
259,17
260,19
261,19
262,19
263,19
264,19
265,19
266,19
267,19
268,19
269,19
270,19
271,19
272,14
273,14
274,14
275,14
276,14
277,14
278,14
279,14
280,14
281,14
282,14
283,14
284,15
285,15
286,15
287,15
288,15
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,18
297,18
298,18
299,18
300,18
301,18
302,17
303,17
304,17
305,17
306,17
307,17
308,19
309,19
310,19
